Scale,Group,Test,RMSEA,CFI,TLI,SRMR,_RMSEA,_CFI,Invariance,Tests failed
,,scalar,0.054,0.921,0.920,0.056,0.002,-0.010,Pass,
,Gender,configural,0.051,0.937,0.929,0.051,,,Pass,
,,metric,0.051,0.934,0.930,0.052,0.000,-0.003,Pass,
,,scalar,0.054,0.924,0.922,0.055,0.003,-0.010,Pass,
"Big 5 Inventory - E,C,N",Median age,configural,0.073,0.909,0.900,0.071,,,Fail,configural
,,metric,0.073,0.907,0.901,0.072,0.000,-0.002,Pass,
,,scalar,0.073,0.904,0.902,0.073,0.000,-0.003,Pass,
,Gender,configural,0.072,0.913,0.904,0.070,,,Fail,configural
,,metric,0.071,0.911,0.906,0.070,-0.001,-0.002,Pass,
,,scalar,0.071,0.909,0.908,0.071,0.000,-0.002,Pass,
Humanitarianism-Egalitarianism,Median age,configural,0.041,0.980,0.975,0.048,,,Pass,
,,metric,0.043,0.976,0.973,0.051,0.002,-0.004,Pass,
,,scalar,0.048,0.966,0.966,0.056,0.005,-0.010,Pass,
,Gender,configural,0.044,0.978,0.971,0.050,,,Pass,
,,metric,0.045,0.974,0.970,0.052,0.001,-0.004,Pass,
,,scalar,0.046,0.969,0.968,0.055,0.001,-0.005,Pass,
Intuitions about Controllability and Awareness of Thoughts,Median age,configural,0.064,0.958,0.952,0.086,,,Pass,
,,metric,0.070,0.946,0.942,0.093,0.006,-0.012,Pass,
,,scalar,0.070,0.943,0.942,0.095,0.000,-0.003,Pass,
,Gender,configural,0.064,0.957,0.950,0.087,,,Pass,
,,metric,0.063,0.956,0.953,0.088,-0.001,-0.001,Pass,
,,scalar,0.060,0.958,0.957,0.089,-0.003,0.002,Pass,
Intuitions about Controllability and Awareness of Thoughts - Others,Median age,configural,0.086,0.903,0.871,0.074,,,Fail,configural
,,metric,0.082,0.898,0.882,0.076,-0.004,-0.005,Pass,
,,scalar,0.080,0.891,0.888,0.077,-0.002,-0.007,Pass,
,Gender,configural,0.086,0.904,0.872,0.074,,,Fail,configural
,,metric,0.080,0.904,0.888,0.074,-0.006,0.000,Pass,
,,scalar,0.078,0.898,0.895,0.075,-0.002,-0.006,Pass,
Intuitions about Controllability and Awareness of Thoughts - Self,Median age,configural,0.088,0.933,0.911,0.070,,,Fail,configural
,,metric,0.082,0.932,0.921,0.071,-0.006,-0.001,Pass,
,,scalar,0.083,0.923,0.921,0.075,0.001,-0.009,Pass,
,Gender,configural,0.090,0.928,0.904,0.072,,,Fail,configural
,,metric,0.084,0.928,0.916,0.073,-0.006,0.000,Pass,
,,scalar,0.080,0.927,0.925,0.073,-0.004,-0.001,Pass,
Need for Cognition,Median age,configural,0.044,0.978,0.975,0.045,,,Pass,
,,metric,0.046,0.975,0.973,0.048,0.002,-0.003,Pass,
,,scalar,0.047,0.971,0.971,0.050,0.001,-0.004,Pass,
,Gender,configural,0.044,0.980,0.977,0.044,,,Pass,
,,metric,0.044,0.978,0.976,0.046,0.000,-0.002,Pass,
,,scalar,0.045,0.975,0.975,0.048,0.001,-0.003,Pass,
Need for Cognitive Closure,Median age,configural,0.051,0.921,0.916,0.085,,,Pass,
,,metric,0.055,0.907,0.902,0.088,0.004,-0.014,Pass,
,,scalar,0.055,0.905,0.903,0.089,0.000,-0.002,Pass,
,Gender,configural,0.053,0.918,0.912,0.085,,,Pass,
,,metric,0.055,0.910,0.906,0.087,0.002,-0.008,Pass,
,,scalar,0.054,0.909,0.907,0.087,-0.001,-0.001,Pass,
"Need for Cognitive Closure - O,A",Median age,configural,0.049,0.954,0.946,0.046,,,Pass,
,,metric,0.049,0.952,0.948,0.047,0.000,-0.002,Pass,
,,scalar,0.051,0.944,0.942,0.050,0.002,-0.008,Pass,
,Gender,configural,0.050,0.953,0.944,0.046,,,Pass,
,,metric,0.049,0.952,0.947,0.046,-0.001,-0.001,Pass,
,,scalar,0.051,0.944,0.942,0.050,0.002,-0.008,Pass,
"Need for Cognitive Closure - P,D,CM",Median age,configural,0.066,0.883,0.869,0.064,,,Fail,configural
,,metric,0.065,0.881,0.873,0.065,-0.001,-0.002,Pass,
,,scalar,0.066,0.872,0.869,0.067,0.001,-0.009,Pass,
,Gender,configural,0.068,0.878,0.864,0.066,,,Fail,configural
,,metric,0.067,0.877,0.868,0.067,-0.001,-0.001,Pass,
,,scalar,0.067,0.872,0.869,0.068,0.000,-0.005,Pass,
Personal Need for Structure,Median age,configural,0.062,0.970,0.963,0.056,,,Pass,
,,metric,0.062,0.966,0.963,0.058,0.000,-0.004,Pass,
,,scalar,0.063,0.962,0.962,0.061,0.001,-0.004,Pass,
,Gender,configural,0.062,0.969,0.963,0.055,,,Pass,
,,metric,0.060,0.968,0.964,0.057,-0.002,-0.001,Pass,
,,scalar,0.059,0.967,0.966,0.058,-0.001,-0.001,Pass,
Protestant Ethic,Median age,configural,0.063,0.950,0.937,0.057,,,Pass,
,,metric,0.061,0.948,0.942,0.058,-0.002,-0.002,Pass,
,,scalar,0.061,0.942,0.941,0.061,0.000,-0.006,Pass,
,Gender,configural,0.063,0.951,0.939,0.057,,,Pass,
,,metric,0.061,0.948,0.942,0.058,-0.002,-0.003,Pass,
,,scalar,0.060,0.945,0.944,0.060,-0.001,-0.003,Pass,
Ring-Wing Authoritarianism,Median age,configural,0.074,0.961,0.956,0.074,,,Pass,
,,metric,0.074,0.958,0.955,0.077,0.000,-0.003,Pass,
,,scalar,0.076,0.954,0.954,0.079,0.002,-0.004,Pass,
,Gender,configural,0.075,0.960,0.956,0.076,,,Pass,
,,metric,0.075,0.958,0.956,0.077,0.000,-0.002,Pass,
,,scalar,0.075,0.956,0.956,0.079,0.000,-0.002,Pass,
Rosenberg Self-Esteem,Median age,configural,0.058,0.982,0.977,0.057,,,Pass,
,,metric,0.060,0.979,0.976,0.063,0.002,-0.003,Pass,
,,scalar,0.060,0.976,0.976,0.065,0.000,-0.003,Pass,
,Gender,configural,0.058,0.983,0.978,0.057,,,Pass,
,,metric,0.056,0.982,0.979,0.059,-0.002,-0.001,Pass,
,,scalar,0.054,0.981,0.980,0.060,-0.002,-0.001,Pass,
Self-Monitoring,Median age,configural,0.113,0.691,0.649,0.102,,,Fail,configural
,,metric,0.110,0.687,0.666,0.103,-0.003,-0.004,Pass,
,,scalar,0.108,0.682,0.679,0.104,-0.002,-0.005,Pass,
,Gender,configural,0.112,0.690,0.649,0.102,,,Fail,configural
,,metric,0.110,0.687,0.666,0.102,-0.002,-0.003,Pass,
,,scalar,0.109,0.674,0.672,0.104,-0.001,-0.013,Pass,
Social Dominance Orientation,Median age,configural,0.067,0.947,0.936,0.064,,,Fail,configural
,,metric,0.066,0.944,0.938,0.065,-0.001,-0.003,Pass,
,,scalar,0.068,0.935,0.934,0.069,0.002,-0.009,Pass,
,Gender,configural,0.069,0.941,0.928,0.065,,,Fail,configural
,,metric,0.066,0.941,0.934,0.065,-0.003,0.000,Pass,
,,scalar,0.065,0.938,0.937,0.066,-0.001,-0.003,Pass,
Spheres of Control,Median age,configural,0.041,0.951,0.944,0.075,,,Pass,
,,metric,0.050,0.922,0.916,0.082,0.009,-0.029,Fail,metric
,,scalar,0.049,0.922,0.921,0.083,-0.001,0.000,Pass,
,Gender,configural,0.041,0.950,0.944,0.074,,,Pass,
,,metric,0.047,0.931,0.927,0.078,0.006,-0.019,Fail,metric
,,scalar,0.047,0.928,0.927,0.080,0.000,-0.003,Pass,
Spheres of Control - Interpersonal Control,Median age,configural,0.059,0.963,0.950,0.049,,,Pass,
,,metric,0.055,0.962,0.956,0.049,-0.004,-0.001,Pass,
,,scalar,0.054,0.959,0.958,0.051,-0.001,-0.003,Pass,
,Gender,configural,0.059,0.964,0.952,0.048,,,Pass,
,,metric,0.055,0.963,0.958,0.049,-0.004,-0.001,Pass,
,,scalar,0.055,0.959,0.958,0.051,0.000,-0.004,Pass,
Spheres of Control - Personal Efficacy,Median age,configural,0.078,0.834,0.787,0.066,,,Fail,configural
,,metric,0.074,0.833,0.809,0.066,-0.004,-0.001,Pass,
,,scalar,0.072,0.821,0.817,0.068,-0.002,-0.012,Pass,
,Gender,configural,0.076,0.843,0.798,0.064,,,Fail,configural
,,metric,0.072,0.841,0.819,0.065,-0.004,-0.002,Pass,
,,scalar,0.078,0.793,0.788,0.072,0.006,-0.048,Fail,scalar
