Scale,group,test,chisq,df,fit_chisq_p_value,cfi,tli,rmsea,srmr,df_change,cfi_change,tli_change,rmsea_change,srmr_change,MI_test
Ring-Wing Authoritarianism,sex,fit_metric,6557.285,359,< .0001,0.87,0.862,0.073,0.077,19,0.082,0.099,-0.023,0.002,Passed
Ring-Wing Authoritarianism,sex,fit_scalar,6895.306,378,< .0001,0.863,0.862,0.073,0.079,19,-0.007,0,-0,0.002,Passed
Rosenberg Self-Esteem,age,fit_configural,2875.978,70,< .0001,0.803,0.747,0.107,0.057,NA,NA,NA,NA,NA,Poor
Rosenberg Self-Esteem,age,fit_metric,1693.608,79,< .0001,0.887,0.871,0.077,0.063,9,0.084,0.124,-0.031,0.006,Passed
Rosenberg Self-Esteem,age,fit_scalar,1868.062,88,< .0001,0.875,0.872,0.076,0.065,9,-0.012,0.001,-0,0.002,Passed
Rosenberg Self-Esteem,sex,fit_configural,2893.996,70,< .0001,0.806,0.751,0.108,0.057,NA,NA,NA,NA,NA,Poor
Rosenberg Self-Esteem,sex,fit_metric,1450.61,79,< .0001,0.906,0.893,0.071,0.059,9,0.1,0.142,-0.037,0.002,Passed
Rosenberg Self-Esteem,sex,fit_scalar,1541.394,88,< .0001,0.9,0.898,0.069,0.06,9,-0.006,0.005,-0.002,0.001,Passed
Self-Monitoring,age,fit_configural,11911.08,270,< .0001,0.482,0.413,0.114,0.102,NA,NA,NA,NA,NA,Poor
Self-Monitoring,age,fit_metric,10708.468,287,< .0001,0.536,0.505,0.105,0.103,17,0.054,0.093,-0.009,0.001,Passed
Self-Monitoring,age,fit_scalar,11039.544,304,< .0001,0.522,0.519,0.103,0.104,17,-0.014,0.014,-0.001,0.001,Passed
Self-Monitoring,sex,fit_configural,11883.615,270,< .0001,0.471,0.401,0.114,0.102,NA,NA,NA,NA,NA,Poor
Self-Monitoring,sex,fit_metric,10598.608,287,< .0001,0.531,0.5,0.104,0.102,17,0.059,0.099,-0.01,0.001,Passed
Self-Monitoring,sex,fit_scalar,11150.995,304,< .0001,0.506,0.503,0.104,0.104,17,-0.024,0.003,-0,0.002,Failed
soc,age,fit_configural,447.873,302,< .0001,0.843,0.822,0.049,0.075,NA,NA,NA,NA,NA,Mixed
soc,age,fit_metric,466.823,319,< .0001,0.841,0.829,0.048,0.082,17,-0.002,0.007,-0.001,0.006,Passed
soc,age,fit_scalar,485.983,336,< .0001,0.839,0.836,0.047,0.083,17,-0.002,0.006,-0.001,0.001,Passed
soc,sex,fit_configural,448.542,302,< .0001,0.834,0.812,0.049,0.074,NA,NA,NA,NA,NA,Mixed
soc,sex,fit_metric,445.902,319,< .0001,0.856,0.846,0.045,0.078,17,0.022,0.034,-0.005,0.004,Passed
soc,sex,fit_scalar,469.747,336,< .0001,0.848,0.846,0.045,0.08,17,-0.008,-0,0,0.002,Passed
Social Dominance Orientation,age,fit_configural,2893.712,108,< .0001,0.822,0.783,0.087,0.064,NA,NA,NA,NA,NA,Poor
Social Dominance Orientation,age,fit_metric,2354.093,119,< .0001,0.857,0.842,0.074,0.065,11,0.035,0.059,-0.013,0.001,Passed
Social Dominance Orientation,age,fit_scalar,2718.49,130,< .0001,0.835,0.832,0.076,0.069,11,-0.023,-0.01,0.002,0.004,Failed
Social Dominance Orientation,sex,fit_configural,2975.534,108,< .0001,0.814,0.773,0.088,0.065,NA,NA,NA,NA,NA,Poor
Social Dominance Orientation,sex,fit_metric,2307.903,119,< .0001,0.858,0.843,0.073,0.065,11,0.044,0.07,-0.015,0,Passed
Social Dominance Orientation,sex,fit_scalar,2415.071,130,< .0001,0.852,0.85,0.072,0.066,11,-0.006,0.007,-0.002,0.001,Passed
Spheres of Control - Interpersonal Control,age,fit_configural,1199.392,54,< .0001,0.887,0.849,0.079,0.049,NA,NA,NA,NA,NA,Poor
Spheres of Control - Interpersonal Control,age,fit_metric,974.151,62,< .0001,0.91,0.895,0.066,0.049,8,0.023,0.046,-0.013,0.001,Passed
Spheres of Control - Interpersonal Control,age,fit_scalar,1076.544,70,< .0001,0.9,0.897,0.065,0.051,8,-0.009,0.002,-0.001,0.002,Passed
Spheres of Control - Interpersonal Control,sex,fit_configural,1200.873,54,< .0001,0.887,0.849,0.079,0.048,NA,NA,NA,NA,NA,Poor
Spheres of Control - Interpersonal Control,sex,fit_metric,956.788,62,< .0001,0.912,0.898,0.065,0.049,8,0.025,0.048,-0.014,0,Passed
Spheres of Control - Interpersonal Control,sex,fit_scalar,1087.397,70,< .0001,0.9,0.897,0.065,0.051,8,-0.012,-0.001,0,0.002,Passed
Spheres of Control - Personal Efficacy,age,fit_configural,1980.845,70,< .0001,0.713,0.631,0.089,0.066,NA,NA,NA,NA,NA,Poor
Spheres of Control - Personal Efficacy,age,fit_metric,1822.172,79,< .0001,0.738,0.702,0.08,0.066,9,0.025,0.071,-0.009,0.001,Passed
Spheres of Control - Personal Efficacy,age,fit_scalar,1981.543,88,< .0001,0.715,0.709,0.079,0.068,9,-0.023,0.007,-0.001,0.002,Failed
Spheres of Control - Personal Efficacy,sex,fit_configural,1913.659,70,< .0001,0.723,0.644,0.087,0.064,NA,NA,NA,NA,NA,Poor
Spheres of Control - Personal Efficacy,sex,fit_metric,1733.293,79,< .0001,0.752,0.717,0.078,0.065,9,0.028,0.073,-0.009,0.001,Passed
Spheres of Control - Personal Efficacy,sex,fit_scalar,2274.411,88,< .0001,0.672,0.664,0.085,0.072,9,-0.08,-0.053,0.007,0.007,Failed
